NT	PI	CH	T
7 3.139240 8501 0.029143
6 3.141800 8501 0.029963
5 3.137400 8501 0.024846
4 3.137480 8501 0.021457
3 3.142440 8501 0.018078
2 3.138840 8501 0.032248
1 3.145480 8501 0.002854
8 3.134520 8601 0.034851
7 3.143400 8601 0.029225
6 3.130520 8601 0.030065
5 3.147040 8601 0.024919
4 3.141840 8601 0.020609
3 3.136400 8601 0.017629
2 3.136000 8601 0.008151
1 3.139240 8601 0.003129
8 3.135680 8701 0.027811
7 3.138880 8701 0.029595
6 3.144360 8701 0.029492
5 3.144000 8701 0.024885
4 3.136360 8701 0.021812
3 3.145200 8701 0.019525
2 3.131040 8701 0.008339
1 3.136440 8701 0.003179
8 3.153320 8801 0.028558
7 3.144560 8801 0.032640
6 3.149640 8801 0.029610
5 3.146680 8801 0.025259
4 3.141640 8801 0.022350
3 3.152720 8801 0.020546
2 3.145480 8801 0.019074
1 3.136880 8801 0.002960
8 3.144560 8901 0.028525
7 3.142160 8901 0.029353
6 3.138000 8901 0.029429
5 3.141800 8901 0.027333
4 3.143360 8901 0.018175
3 3.139400 8901 0.022662
2 3.134240 8901 0.018803
1 3.151160 8901 0.002931
8 3.143520 9001 0.027329
7 3.141160 9001 0.028755
6 3.136520 9001 0.029264
5 3.130760 9001 0.025343
4 3.146480 9001 0.018196
3 3.142480 9001 0.021438
2 3.142240 9001 0.027946
1 3.145200 9001 0.002896
8 3.136680 9101 0.028069
7 3.134400 9101 0.028578
6 3.133120 9101 0.028997
5 3.141040 9101 0.025169
4 3.143920 9101 0.018685
3 3.143680 9101 0.021121
2 3.138360 9101 0.034760
1 3.129440 9101 0.002932
8 3.139040 9201 0.029349
7 3.140480 9201 0.028823
6 3.136760 9201 0.028962
5 3.142640 9201 0.024243
4 3.142120 9201 0.021340
3 3.139160 9201 0.017759
2 3.146640 9201 0.008203
1 3.140440 9201 0.003145
8 3.140240 9301 0.028116
7 3.142920 9301 0.028528
6 3.139640 9301 0.029303
5 3.128560 9301 0.024085
4 3.133000 9301 0.020991
3 3.129480 9301 0.017139
2 3.136240 9301 0.008435
1 3.143360 9301 0.003246
8 3.145040 9401 0.030033
7 3.146920 9401 0.028083
6 3.143080 9401 0.028559
5 3.135320 9401 0.023466
4 3.136320 9401 0.020859
3 3.150560 9401 0.022892
2 3.143800 9401 0.020979
1 3.145960 9401 0.002901
8 3.134960 9501 0.030322
7 3.145320 9501 0.029277
6 3.133000 9501 0.029357
5 3.150960 9501 0.025489
4 3.144880 9501 0.019217
3 3.133880 9501 0.021836
2 3.142360 9501 0.038624
1 3.132480 9501 0.002805
8 3.135320 9601 0.031585
7 3.135320 9601 0.029603
6 3.139400 9601 0.027922
5 3.144400 9601 0.026949
4 3.149800 9601 0.023739
3 3.148480 9601 0.022003
2 3.139840 9601 0.018882
1 3.152040 9601 0.002923
8 3.148400 9701 0.027811
7 3.149280 9701 0.029433
6 3.141720 9701 0.032284
5 3.142280 9701 0.023577
4 3.143880 9701 0.018909
3 3.144840 9701 0.023021
2 3.145840 9701 0.019309
1 3.141200 9701 0.002880
8 3.153520 9801 0.032777
7 3.146960 9801 0.026814
6 3.139040 9801 0.028409
5 3.136280 9801 0.025098
4 3.137760 9801 0.018437
3 3.140440 9801 0.021783
2 3.146160 9801 0.016907
1 3.134520 9801 0.002892
8 3.137680 9901 0.027210
7 3.129760 9901 0.028700
6 3.137840 9901 0.028546
5 3.139800 9901 0.022873
4 3.145160 9901 0.020407
3 3.134840 9901 0.017351
2 3.140440 9901 0.033686
1 3.146760 9901 0.002909
8 3.132040 10001 0.031808
7 3.142120 10001 0.028765
6 3.142280 10001 0.028091
5 3.139640 10001 0.025212
4 3.137040 10001 0.022356
3 3.137200 10001 0.017633
2 3.139480 10001 0.022516
1 3.135720 10001 0.002959
